# SENSOR LOG DUMP - GATEWAY 01 - 2023-10-27
# FORMAT: device_id,timestamp,temperature_c,humidity_percent,status
device_id,timestamp,temperature_c,humidity_percent,status
IOT-GWAY-01,2023-10-27 09:00:00,22.5,45,OK
IOT-GWAY-02,2023-10-27 09:00:05,24.1,50,OK
# SYSTEM WARNING: High latency on Node 03
IOT-GWAY-01,2023-10-27 09:05:00,23.0,48,OK
"IOT-GWAY-02;2023-10-27 09:05:05;24.5;51;OK"
IOT-GWAY-01,2023-10-27 09:10:00,999.9,0,SENSOR_ERROR
IOT-GWAY-03,2023-10-27 09:10:05,-273.15,100,CRITICAL_FREEZE
   IOT-GWAY-01 , 2023-10-27 09:15:00 , 23.5 , 49 , OK
IOT-GWAY-02,2023-10-27 09:15:05,,55,OK
Unknown_Device,2023-10-27 09:15:10,25.0,60,UNAUTHORIZED
IOT-GWAY-01,2023-10-27 09:20:00,24.0,-10,ERROR_NEG_HUM
*** KERNEL PANIC: SEGMENTATION FAULT AT 0x004 ***
IOT-GWAY-02,2023-10-27 09:20:05,25.1,52,OK
"IOT-GWAY-03;2023-10-27 09:20:10;85.0;120;FIRE_HAZARD"
IOT-GWAY-01,2023-10-27 09:25:00,24.2,50.5,OK
